order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17
1A,Introduction,https://twitter.come/holtbt,https://frontendmasters.com/bootcamp/,https://github.com/nvm-sh/nvm,https://code.visualstudio.com/,https://gumroad.com/l/dank-mono,https://worldofzero.com/posts/enable-font-ligatures-vscode/,https://github.com/microsoft/cascadia-code,https://marketplace.visualstudio.com/items?itemName=sdras.night-owl,https://iterm2.com/,https://www.microsoft.com/en-us/p/windows-terminal/9n0dx20hk701?activetab=pivot:overviewtab,https://marketplace.visualstudio.com/items?itemName=vscode-icons-team.vscode-icons,https://github.com/btholt/complete-intro-to-react-v6/issues,https://twitter.come/holtbt,https://www.linkedin.com/in/btholt/,https://github.com/btholt,https://github.com/btholt/complete-intro-to-react-v6,https://github.com/btholt/complete-intro-to-react-v6,https://github.com/btholt/citr-v6-project
2A,Pure React,https://reactjs.org/blog/2020/10/20/react-v17.html,https://frontendmasters.com/courses/web-development-v2/,https://raw.githubusercontent.com/btholt/complete-intro-to-react-v5/master/src/style.css,https://raw.githubusercontent.com/btholt/complete-intro-to-react-v5/master/src/style.css,,,,,,,,,,,,,,
2B,Components,https://github.com/btholt/citr-v6-project/tree/master/01-no-frills-react,,,,,,,,,,,,,,,,,
3A,npm,,,,,,,,,,,,,,,,,,
3B,Prettier,https://github.com/prettier/prettier,https://twitter.com/jlongster,https://prettier.io/playground/,https://prettier.io/docs/en/options.html,https://flow.org/,https://www.typescriptlang.org/,https://code.visualstudio.com/?WT.mc_id=reactintro-github-brholt,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode&WT.mc_id=reactintro-github-brholt,,,,,,,,,,
3C,ESLint,https://eslint.org,https://github.com/airbnb/javascript,https://code.visualstudio.com/,https://marketplace.visualstudio.com/items?itemName=dbaeumer.vscode-eslint,http://jshint.com/,,,,,,,,,,,,,
3D,Git,https://frontendmasters.com/courses/git-in-depth/,,,,,,,,,,,,,,,,,
3E,Parcel,https://parceljs.org/,https://webpack.js.org/,http://browserify.org/,https://esbuild.github.io/,https://www.rollupjs.org/,,,,,,,,,,,,,
3F,Babel,https://github.com/parcel-bundler/parcel/releases,,,,,,,,,,,,,,,,,
3G,Browserlist,https://browserslist.dev,https://github.com/btholt/citr-v6-project/tree/master/02-js-tools,,,,,,,,,,,,,,,,
4A,JSX,https://github.com/airbnb/javascript/tree/master/packages/eslint-config-airbnb,https://standardjs.com/,https://github.com/btholt/citr-v6-project/tree/master/03-jsx,,,,,,,,,,,,,,,
4B,Hooks,https://developer.mozilla.org/en-US/docs/Web/API/Element/className,https://github.com/btholt/citr-v6-project/tree/master/04-hooks,,,,,,,,,,,,,,,,
4C,useEffect,https://github.com/btholt/citr-v6-project/tree/master/05-useeffect,,,,,,,,,,,,,,,,,
4D,Custom Hooks,https://github.com/btholt/citr-v6-project/tree/master/06-custom-hooks,,,,,,,,,,,,,,,,,
4E,Handling User Input,,,,,,,,,,,,,,,,,,
4F,Component Composition,https://github.com/btholt/citr-v6-project/tree/master/07-component-composition,,,,,,,,,,,,,,,,,
5A,React Router,https://reacttraining.com/react-router/,https://reach.tech/router/,https://remix.run,https://github.com/btholt/citr-v6-project/tree/master/08-react-router,,,,,,,,,,,,,,
5B,Class Components,https://github.com/btholt/citr-v6-project/tree/master/09-class-components,,,,,,,,,,,,,,,,,